"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 04 11:34:01 GMT 2023","Wed Oct 04 11:34:04 GMT 2023","2895","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"failed","Wed Oct 04 11:33:46 GMT 2023","Wed Oct 04 11:33:46 GMT 2023","601","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Wed Oct 04 11:33:48 GMT 2023","Wed Oct 04 11:33:51 GMT 2023","3279","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"failed","Wed Oct 04 11:34:04 GMT 2023","Wed Oct 04 11:34:05 GMT 2023","683","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"passed","Wed Oct 04 11:33:45 GMT 2023","Wed Oct 04 11:33:46 GMT 2023","1038","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando CPF/CNPF",""
"failed","Wed Oct 04 11:33:51 GMT 2023","Wed Oct 04 11:33:52 GMT 2023","718","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando e-mail com dados inválidos",""
"failed","Wed Oct 04 11:33:46 GMT 2023","Wed Oct 04 11:33:47 GMT 2023","607","","Testes de login Casas Bahia","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ  com dados inválidos",""
"failed","Wed Oct 04 11:33:53 GMT 2023","Wed Oct 04 11:34:01 GMT 2023","8711","","Testes de login Ponto","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"failed","Wed Oct 04 11:33:44 GMT 2023","Wed Oct 04 11:33:45 GMT 2023","1045","","Testes de login Casas Bahia","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"failed","Wed Oct 04 11:33:52 GMT 2023","Wed Oct 04 11:33:53 GMT 2023","666","","Testes de login Extra","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
"failed","Wed Oct 04 11:33:47 GMT 2023","Wed Oct 04 11:33:48 GMT 2023","860","","Testes de login Extra","","","","[POST] Deve fazer login com sucesso utilizando e-mail",""
"failed","Wed Oct 04 11:34:05 GMT 2023","Wed Oct 04 11:34:06 GMT 2023","806","","Testes de login Ponto","","","","[POST] Deve retornar erro ao fazer login utilizando CPF/CNPJ com dados inválidos",""
